posts,row_id
"Anonymous wrote:
			
				Anonymous wrote:
			
				Anonymous wrote:
			
				Anonymous wrote:
			
				Anonymous wrote:If you're reading this board, you'll probably find this interesting:https://edscape.dc.gov/node/1730326 ""This dashboard displays individual school enrollment trends over time including total enrollment, enrollment by grade, in and out of boundary, and race/ethnicity. To display a specific school, select a school name from the menu or click on its point on the map. If no specific school is selected, then the dashboard displays total enrollment trends for the DIstrict that can be further filtered by school category and grade bands.""
		 This is really helpful especially because you can see the breakdown by race for PK separate from K-5 for elementaries. The race data on school profiles generally groups everyone together and this can obscure huge differences in racial composition. Schools often look more diverse than they are because they have highly diverse PK classes. So the school profile will say it's 60% black and 25% white and 10% hispanic and 2% asian and 3% other but in reality K-5 is 98% black and all the ""diversity"" is coming in PK. Whereas an actually diverse school will show a lot more diversity in the K-5 bracket -- perhaps not as much as in PK but you will see families of all races sticking with the school past ECE.
		 For this reason I wish they also had breakdown by at-risk status.
		 Yes it's very weird that they don't. That breakdown is available in other data sets though, so you could probably ballpark it if you tried.
		 Also interesting to see which elementary schools have huge drop offs in class size in 5th grade vs those that have more consistent class size.
		 I think the grade progression ratio dashboard is a better tool for this particular question: https://edscape.dc.gov/node/1607141",16
"Anonymous wrote:
			
				Anonymous wrote:
			
				Anonymous wrote:
			
				Anonymous wrote:
			
				Anonymous wrote:
			
				Anonymous wrote:If you're reading this board, you'll probably find this interesting:https://edscape.dc.gov/node/1730326 ""This dashboard displays individual school enrollment trends over time including total enrollment, enrollment by grade, in and out of boundary, and race/ethnicity. To display a specific school, select a school name from the menu or click on its point on the map. If no specific school is selected, then the dashboard displays total enrollment trends for the DIstrict that can be further filtered by school category and grade bands.""
		 This is really helpful especially because you can see the breakdown by race for PK separate from K-5 for elementaries. The race data on school profiles generally groups everyone together and this can obscure huge differences in racial composition. Schools often look more diverse than they are because they have highly diverse PK classes. So the school profile will say it's 60% black and 25% white and 10% hispanic and 2% asian and 3% other but in reality K-5 is 98% black and all the ""diversity"" is coming in PK. Whereas an actually diverse school will show a lot more diversity in the K-5 bracket -- perhaps not as much as in PK but you will see families of all races sticking with the school past ECE.
		 For this reason I wish they also had breakdown by at-risk status.
		 Yes it's very weird that they don't. That breakdown is available in other data sets though, so you could probably ballpark it if you tried.
		 Also interesting to see which elementary schools have huge drop offs in class size in 5th grade vs those that have more consistent class size.
		 I think the grade progression ratio dashboard is a better tool for this particular question: https://edscape.dc.gov/node/1607141
		 Sure, depending on what information you were looking for. If you were just looking at elementaries and wondering about upper grades, this first page is a quicker glance at what the numbers are. Yes, schools can always add additional kids in upper grades but just poking around the Cap Hill schools, it is apparent that some of them have fifth grade classes that are half the size of the rest of the grades, and decreases in other upper grades too.",17
"Anonymous wrote:
			
				Anonymous wrote:
			
				Anonymous wrote:I find it interesting but also incorrect.  My kid's school says there is a single Asian student in the entire elementary for 23-24, but there were three Asian kids in her PK4 class (and not 50% or anything but I saw many more at drop off/pickup).  So I'm not sure where they're getting the race data from (maybe it's self-reported and many people ""prefer not to say""?), but I expect total enrollment and IB/OOB to be more likely to be correct.
		 They may be entering as more than one race and you're not aware of what the other race is. Or yes, prefer not to say. Or else it's the n less than 10 rule being coded as 1.
		 Last year it says there were 3 Asian students, so it's not n<10 = 1.  Certainly some of the kids I don't know personally may be bi/multiracial but I know that there are more ""completely"" Asian students than being reported in this data set.  Just pointing out to the PPs excited for a ""race breakdown"" that the numbers should be taken with a grain of salt.
		 Something similar is true at our school and I found out many Asian families at our school reported as mixed race for a variety of non-obvious reasons. Does your school report a substantial mixed race population? That group is overwhelmingly partially Asian at our school, which surprised me. Many students who I would have identified as mixed race self-identified as Black and many students I would have identified as Asian identified as mixed. Obviously their self-identification is the one that matters. I’d just say that, from personal experience, you may be mistaken.",18
"Anonymous wrote:
			
				Anonymous wrote:
			
				Anonymous wrote:
			
				Anonymous wrote:
			
				Anonymous wrote:
			
				Anonymous wrote:
			
				Anonymous wrote:If you're reading this board, you'll probably find this interesting:https://edscape.dc.gov/node/1730326 ""This dashboard displays individual school enrollment trends over time including total enrollment, enrollment by grade, in and out of boundary, and race/ethnicity. To display a specific school, select a school name from the menu or click on its point on the map. If no specific school is selected, then the dashboard displays total enrollment trends for the DIstrict that can be further filtered by school category and grade bands.""
		 This is really helpful especially because you can see the breakdown by race for PK separate from K-5 for elementaries. The race data on school profiles generally groups everyone together and this can obscure huge differences in racial composition. Schools often look more diverse than they are because they have highly diverse PK classes. So the school profile will say it's 60% black and 25% white and 10% hispanic and 2% asian and 3% other but in reality K-5 is 98% black and all the ""diversity"" is coming in PK. Whereas an actually diverse school will show a lot more diversity in the K-5 bracket -- perhaps not as much as in PK but you will see families of all races sticking with the school past ECE.
		 For this reason I wish they also had breakdown by at-risk status.
		 Yes it's very weird that they don't. That breakdown is available in other data sets though, so you could probably ballpark it if you tried.
		 Also interesting to see which elementary schools have huge drop offs in class size in 5th grade vs those that have more consistent class size.
		 I think the grade progression ratio dashboard is a better tool for this particular question: https://edscape.dc.gov/node/1607141
		 Sure, depending on what information you were looking for. If you were just looking at elementaries and wondering about upper grades, this first page is a quicker glance at what the numbers are. Yes, schools can always add additional kids in upper grades but just poking around the Cap Hill schools, it is apparent that some of them have fifth grade classes that are half the size of the rest of the grades, and decreases in other upper grades too.
		 Eastern feeders had 85% grade progression ratio 4th to 5th in SY23-24, which was actually higher than in previous years (77-82%). This is a pretty big outlier - every other feeder, grade level K-5, and year have numbers above 90%.* *JR feeder data looks weird for SY23-24 across the board; I think it has to do with MacArthur opening.",19
"race in the gentrifying schools is fascinating. Garrison and Seaton are both 40 percent White in PK, but 15-20 percent in K-5.",20
"Wow I love this data. The OSSE enrollment spreadsheets tell you some of the same things but it's quite tedious to make a multi-year comparison. A few things that jumped out at me: Coolidge has a big increase, wow. CHML middle school is on an increasing trend. Two Rivers small 5th grade classes are visible, but the middle school is not seeing the same. Jackson-Reed 9th grade is small, as is the intent with opening MacArthur, some decrease in 10th too. MV Cook (P St) has a big preschool increase that masks an overall decline in K-5-- down from 516 to 369. Biggest drops in K and 4th. I'm sure there's plenty more to say. Enjoy!",21
"Stuart-Hobson down, Eliot-Hine and Jefferson up. Interesting!",22
"Anonymous wrote:Wow I love this data. The OSSE enrollment spreadsheets tell you some of the same things but it's quite tedious to make a multi-year comparison. A few things that jumped out at me: Coolidge has a big increase, wow. CHML middle school is on an increasing trend. Two Rivers small 5th grade classes are visible, but the middle school is not seeing the same. Jackson-Reed 9th grade is small, as is the intent with opening MacArthur, some decrease in 10th too. MV Cook (P St) has a big preschool increase that masks an overall decline in K-5-- down from 516 to 369. Biggest drops in K and 4th. I'm sure there's plenty more to say. Enjoy!
		 Why are some of the numbers (ex. CHML when broken down by grade) listed as a # symbol instead of giving the actual number?",23
"Anonymous wrote:Stuart-Hobson down, Eliot-Hine and Jefferson up. Interesting!
		 What do you mean by ""down"" and ""up""? S-H had a waiting list that it didn't exhaust and a small increase in IB students last year, so any overall drop in enrollment was 100% intentional.",24
"Anonymous wrote:
			
				Anonymous wrote:Stuart-Hobson down, Eliot-Hine and Jefferson up. Interesting!
		 What do you mean by ""down"" and ""up""? S-H had a waiting list that it didn't exhaust and a small increase in IB students last year, so any overall drop in enrollment was 100% intentional.
		 I mean that it's interesting to me, because I'm not sure why they would choose to have a drop in enrollment. Do you know why?",25
"Anonymous wrote:
			
				Anonymous wrote:
			
				Anonymous wrote:Stuart-Hobson down, Eliot-Hine and Jefferson up. Interesting!
		 What do you mean by ""down"" and ""up""? S-H had a waiting list that it didn't exhaust and a small increase in IB students last year, so any overall drop in enrollment was 100% intentional.
		 I mean that it's interesting to me, because I'm not sure why they would choose to have a drop in enrollment. Do you know why?
		 DP here but this kind of fluctuation is normal when a school moves from clearing wait-lists and having limited IB enrollment to retaining more IB and carrying a wait-list. They have to be more conservative not just regarding incoming grades but future years because they cannot assume the same level of attrition as they have previously seen.",26
"Anonymous wrote:
			
				Anonymous wrote:
			
				Anonymous wrote:
			
				Anonymous wrote:Stuart-Hobson down, Eliot-Hine and Jefferson up. Interesting!
		 What do you mean by ""down"" and ""up""? S-H had a waiting list that it didn't exhaust and a small increase in IB students last year, so any overall drop in enrollment was 100% intentional.
		 I mean that it's interesting to me, because I'm not sure why they would choose to have a drop in enrollment. Do you know why?
		 DP here but this kind of fluctuation is normal when a school moves from clearing wait-lists and having limited IB enrollment to retaining more IB and carrying a wait-list. They have to be more conservative not just regarding incoming grades but future years because they cannot assume the same level of attrition as they have previously seen.
		 That is part of the reason why the sixth grade class at EH is so big this year. The school had a certain projection (based on past data) and let in a specific number of OOB students based on that projection. They need to accept all IB students, and more IB students came this year from the feeder schools so they ended up over enrolled by 20-30 students and needing to hire a new teacher. Managing enrollment at any school must be difficult but middle and high school DCPS by right schools have it the hardest IMO because they can't cap enrollment.",27
"Anonymous wrote:
			
				Anonymous wrote:Stuart-Hobson down, Eliot-Hine and Jefferson up. Interesting!
		 What do you mean by ""down"" and ""up""? S-H had a waiting list that it didn't exhaust and a small increase in IB students last year, so any overall drop in enrollment was 100% intentional.
		 Yes, in the absence of at risk/non-at risk measures... S-H and E-H gained similar numbers of white students (19 v 20), which we can pretty much guarantee are UMC, and S-H gained 13 IB students... so it's hard for me to see this as a bad news story for S-H as your comment originally painted it. It is true that E-H and Jefferson both gained substantial amounts of IB students, which is fantastic. (Jefferson actually lost white students though, from 18 to 13.)",28
"I have heard that child age cohorts are fluctuating, I think birth rate went down and continue going down. Is that reflected somewhere in these data sets?",29
"Anonymous wrote:I have heard that child age cohorts are fluctuating, I think birth rate went down and continue going down. Is that reflected somewhere in these data sets?
		 Haven't searched through the data set for it but I know there was a ""baby boom"" on Capitol Hill in 2016-2017 and you can track it through lottery data with waitlists and class sizes at CH schools. I heard about it at daycares in the area at the time and knew people who had kids those years who struggled for childcare more than is typical and then noticed the bump in the lottery as well. I think it's dissipating at this point because those kids are now entering middle elementary and there's enough churn on the Hill that I don't think it impacts enrollment or waitlists like it used to. But even with the disruption of Covid you could track it through the PK and K years.",30
"Anonymous wrote:I have heard that child age cohorts are fluctuating, I think birth rate went down and continue going down. Is that reflected somewhere in these data sets?
		 It's in Chapter 1 of Escape.",31
"Anonymous wrote:I have heard that child age cohorts are fluctuating, I think birth rate went down and continue going down. Is that reflected somewhere in these data sets?
		 There was definitely a nationalwide birthrate drop after the recession, starting at around 2009. The colleges are preparing for an ""enrollment cliff."" Not sure how that interacts with DC populations.",32
All I ever see on DCUM is that BASIS HS hemorrhages kids in HS and can't get a foothold. The data tells a different story. HS enrollment up 25% in last five years and YoY increase ever year.,33
"Anonymous wrote:All I ever see on DCUM is that BASIS HS hemorrhages kids in HS and can't get a foothold. The data tells a different story. HS enrollment up 25% in last five years and YoY increase ever year. 
		 Yes I love how this data contradicts all kinds of entrenched DCUM beliefs.",34
"Anonymous wrote:race in the gentrifying schools is fascinating. Garrison and Seaton are both 40 percent White in PK, but 15-20 percent in K-5.
		 J.O. Wilson same. 28% white in PK and drops to 8% for K-5.",35
"Anonymous wrote:Wow I love this data. The OSSE enrollment spreadsheets tell you some of the same things but it's quite tedious to make a multi-year comparison. A few things that jumped out at me: Coolidge has a big increase, wow. CHML middle school is on an increasing trend.Two Rivers small 5th grade classes are visible, but the middle school is not seeing the same.Jackson-Reed 9th grade is small, as is the intent with opening MacArthur, some decrease in 10th too. MV Cook (P St) has a big preschool increase that masks an overall decline in K-5-- down from 516 to 369. Biggest drops in K and 4th. I'm sure there's plenty more to say. Enjoy!
		 Flat enrollment doesn't tell the TR story. Problem with bolded is that much of what TR sells is its culture. When the 5th grade and MS classes are mostly new kids, the culture they so heavily market doesn't exist. Note the increase at Young in PK for last year against historic levels (+20%) when overall enrollment was flat. That means they are trying to refill the pipeline from all the attrition in upper grades. White population at Young goes from 26% in K-5 to 13% in MS. Flat enrollment pays bills in near term while masking systemic problems.",36
"Anonymous wrote:
			
				Anonymous wrote:
			
				Anonymous wrote:Stuart-Hobson down, Eliot-Hine and Jefferson up. Interesting!
		 What do you mean by ""down"" and ""up""? S-H had a waiting list that it didn't exhaust and a small increase in IB students last year, so any overall drop in enrollment was 100% intentional.
		 Yes, in the absence of at risk/non-at risk measures... S-H and E-H gained similar numbers of white students (19 v 20), which we can pretty much guarantee are UMC, and S-H gained 13 IB students... so it's hard for me to see this as a bad news story for S-H as your comment originally painted it. It is true that E-H and Jefferson both gained substantial amounts of IB students, which is fantastic. (Jefferson actually lost white students though, from 18 to 13.)
		 No kids at any of these schools so no horse in this race. Your logic and conclusions seem sound to me.",37
"Anonymous wrote:
			
				Anonymous wrote:
			
				Anonymous wrote:
			
				Anonymous wrote:I find it interesting but also incorrect.  My kid's school says there is a single Asian student in the entire elementary for 23-24, but there were three Asian kids in her PK4 class (and not 50% or anything but I saw many more at drop off/pickup).  So I'm not sure where they're getting the race data from (maybe it's self-reported and many people ""prefer not to say""?), but I expect total enrollment and IB/OOB to be more likely to be correct.
		 They may be entering as more than one race and you're not aware of what the other race is. Or yes, prefer not to say. Or else it's the n less than 10 rule being coded as 1.
		 +1, data on Asian students in DCPS is often inaccurate because many Asian kids are mixed race and the overall small number make small variations in data seem more significant than they are.Even if the data omitted 2 out of 3 AAPI students it still tells you the approximate percent of students at the school who are AAPI with pretty good accuracy.
		 There were three in our classroom, and the data reports one in the school.  Many more than 2 were omitted.  I'm a bit thrown by how determined people are to insist that the fact that a school with maybe 3-5% AAPI enrollment reporting 0% enrollment is not worthy of comment.  Is it that you guys only want to know how many white kids there are and everything else is noise?
		 The data is what it is based on what is reported by enrolled families. Guessing you are an AAPI family concerned about representation in DC schools and that AAPI kids tend to be marginalized in DC schools. All of which is fair. Your anger is misplaced. If AAPI enrollment is underreported it isn't because DC seeks to underrepresent AAPI kids and it isn't because DCUM dismisses AAPI kids. It is because those kids are not being enrolled as AAPI. Your issue is with the AAPI community and not DC schools or DCUM.",38
"Anonymous wrote:
			
				Anonymous wrote:race in the gentrifying schools is fascinating. Garrison and Seaton are both 40 percent White in PK, but 15-20 percent in K-5.
		 J.O. Wilson same. 28% white in PK and drops to 8% for K-5.
		 JOW is an interesting case because I think their population of IB and white students in K-5 was creeping up but between Covid and then the renovation I think they've fallen back down. But I expect it to swing back up post renovation because of unhappiness with Two Rivers and the increasing difficulty of getting into other schools even in middle elementary. Ludlow used to be fairly easy to lottery into in 1st or 2nd but not so much anymore. And unlike other Hill schools there is no proximity preference for Ludlow for people IB for JOW because if you live close to Ludlow you also live even closer to JOW so it doesn't apply. Just a weird quirk of geography.",39
Brent 5th grade half the size of 4th grade.,40
"For me, as a parent of a soon to be high school student, knowing that the high school sector has grown the most in recent years, this data in this format is helpful. Both white enrollment and black enrollment for high school are up 16%, which is great.  Meanwhile, Hispanic enrollment is up 37% for high school! So, black and white enrollment are rising together (maybe with similar gradual improving perceptions) while Hispanic enrollment has skyrocketed.  I wonder what the factors are.",41
"Anonymous wrote:For me, as a parent of a soon to be high school student, knowing that the high school sector has grown the most in recent years, this data in this format is helpful. Both white enrollment and black enrollment for high school are up 16%, which is great.  Meanwhile, Hispanic enrollment is up 37% for high school! So, black and white enrollment are rising together (maybe with similar gradual improving perceptions) while Hispanic enrollment has skyrocketed.  I wonder what the factors are.
		 Existence of DCI. Existence of MacArthur. Those are both examples of additional high-quality seats. Other new schools such as Girls Global, WLA, and Digital Pioneers.  There's a really big increase at Coolidge and I'm not sure why. Both in-boundary and OOB increased, and all grades levels. Well done team Coolidge!",42
"Anonymous wrote:
			
				Anonymous wrote:For me, as a parent of a soon to be high school student, knowing that the high school sector has grown the most in recent years, this data in this format is helpful. Both white enrollment and black enrollment for high school are up 16%, which is great.  Meanwhile, Hispanic enrollment is up 37% for high school! So, black and white enrollment are rising together (maybe with similar gradual improving perceptions) while Hispanic enrollment has skyrocketed.  I wonder what the factors are.
		 Existence of DCI. Existence of MacArthur. Those are both examples of additional high-quality seats. Other new schools such as Girls Global, WLA, and Digital Pioneers.  There's a really big increase at Coolidge and I'm not sure why. Both in-boundary and OOB increased, and all grades levels. Well done team Coolidge! 
		 It looks like, with Coolidge, the hispanic and black enrollment have gone up a lot.  I know that Wells has an increasing population of white students.  I wonder if that will translate to a similarly growing white population soon.",43
"Anonymous wrote:
			
				Anonymous wrote:For me, as a parent of a soon to be high school student, knowing that the high school sector has grown the most in recent years, this data in this format is helpful. Both white enrollment and black enrollment for high school are up 16%, which is great.  Meanwhile, Hispanic enrollment is up 37% for high school! So, black and white enrollment are rising together (maybe with similar gradual improving perceptions) while Hispanic enrollment has skyrocketed.  I wonder what the factors are.
		 Existence of DCI. Existence of MacArthur. Those are both examples of additional high-quality seats. Other new schools such as Girls Global, WLA, and Digital Pioneers.  There's a really big increase at Coolidge and I'm not sure why. Both in-boundary and OOB increased, and all grades levels. Well done team Coolidge! 
		 I think there are tons of variables at play here. Births have slowed down - families who may have traditionally left DC have not (For a variety of reasons: enjoying being in DC, high interest rates, feeling more comfortable with DC school options etc).  At least part of the population shift may be from people moving to DC - https://www.dcpolicycenter.org/publications/population-in-three-charts-2023/ has some info/numbers "" In 2023, net domestic outmigration was down to 1,509 (0.2 percent of the previous year’s population). Despite this loss of people to other states, the total net migration to D.C. was positive, at 5,460, (0.8 percent of the previous year’s population) thanks to 6,969 net new residents who moved to D.C. from outside the United States."" Very anecdotal, but I have seen an increase in Hispanic students at our Cap Hill ES, and I know they hired an additional ESL teacher at Eastern last year.",44
